303
attribute_name (Chinese)         attribute_name (English)                     attribute_type
波点                             Polka Dotted                                 10
印花                             Printing                                     10
动物                             Animals                                      10
植物                             Plants                                       10
抽象                             Abstract                                     10
米老鼠                           Mickey Mouse                                 10
猫                               Cat/Kitten                                   10
花朵                             Floral/Flowers                               10
数字                             Numbers                                      10
细格纹                           Small plaid                                  10
狗                               Dog                                          10
迷彩                             Camouflage                                   10
格子                             Plaid                                        10
唐老鸭                           Donald Duck                                  10
logo                             Logo                                         10
渐变                             Fade Colour                                  10
扎染                             Tie-dye                                      10
小鸟                             Bird                                         10
星星                             Star                                         10
花色                             Pattern                                      10
波普                             Pop                                          10
兔子                             Bunny                                        10
米奇                             Mickey Mouse                                 10
小鹿                             Fawn/Deerlet                                 10
猫头鹰                           Owl                                          10
五角星                           Pentacle/Pentagram/Star                      10
竖条纹                           Vertical stripes                             10
短裙（76-90cm）                  Above Knee (76-90cm)                         11
中长裙（106-125cm）              Below Knee (106-125cm)                       11
中裙（91-105cm）                 Knee (91-105cm)                              11
中裙（31-45cm）                  Knee (31-45cm)                               11
超短裙（小于75cm）               Mini (shorter than 75cm)                     11
长裙（大于65cm）                 Midi (longer than 65cm)                      11
长裙（大于126cm）                Midi (longer than 126cm)                     11
中长裙（46-65cm）                Below Knee (46-65cm)                         11
短裙                             Above Knee                                   11
短裙（26-30cm）                  Above Knee (26-30cm)                         11
长裙                             Midi                                         11
中裙                             Knee                                         11
衣裙套装                         Ensemble                                     12
衣裤套装                         Pantsuit/Trouser suit                        12
套头                             Pullover                                     12
吊带                             Strap                                        12
修身                             Slim fit                                     12
直筒                             Straights                                    12
阔脚                             Wide Leg                                     12
背带                             Suspenders                                   12
开衫                             Cardigan                                     12
工字型                           H-shaped                                     12
短袖                             Short Sleeves                                13
无袖                             Sleeveless                                   13
长袖                             Long Sleeves                                 13
五分袖/中袖                      Half Sleeves/Ballet sleeve                   13
七分袖                           3/4 Sleeves                                  13
吊带                             Strap                                        13
背带                             Suspenders                                   13
五分袖                           Half Sleeves                                 13
九分袖                           Long Sleeves                                 13
宽松                             Wide/Loose                                	  14
修身                             Slim Fit                                     14
H型（直身）                      Rectangle-shaped                             14
直筒                             Rectangle-shaped                             14
X型（收腰）                      Hourglass-shaped                             14
直身                             Rectangle-shaped                             14
收腰                             Hourglass-shaped                             14
A型                              Pear-shaped                                  14
圆领                             Crewneck                                     15
翻领/Polo领                      Polo Collar                                  15
V领                              V-neck                                       15
立领                             Stand Collar                                 15
一字领                           Boat Neck                                    15
连帽/帽领                        Hoodies                                      15
娃娃领                           Doll Collar                                  15
方领                             Square Collar                                15
西装领                           Classic Collar                               15
半开领                           V-neck                                       15
连帽                             Hoodies                                      15
A字裙                            A-lined Dress                                16
大摆型                           Tent Dress                                   16
公主裙                           Princess Dress                               16
直筒裙                           Barrel Dress                                 16
包臀裙                           Bodycon                                      16
百褶裙                           Skirt with accordion pleats                  16
背带裙                           Jumper Skirt                                 16
蓬蓬裙                           Pouf dress                                   16
一步裙                           Sheath dress                                 16
荷叶边裙                         Flounce dress                                16
不规则裙                         Ragged dress                                 16
蛋糕裙                           Tiered skirt                                 16
普通                             Regular thickness                            17
薄款                             Thin                                         17
常规                             Regular thickness                            17
加厚                             Thick                                        17
超薄                             Very thin                                    17
抓绒                             Fleece                                       17
适中                             Regular thickness                            17
常规袖                           Regular Sleeves                              18
蝙蝠袖                           Batwing Sleeves                              18
荷叶袖                           Bufferfly/Angel Sleeves                      18
泡泡袖                           Puff Sleeves                                 18
常规                             Regular Sleeves                              18
喇叭袖                           Flare Sleeves                                18
插肩袖                           Raglan                                       18
灯笼袖                           Puff Sleeves                                 18
衬衫袖                           French Cuff                                  18
飞飞袖                           Bufferfly Sleeves                            18
公主袖                           Leg-of-mutton Sleeve                         18
